City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Bereznik,RU,2022-01-04 21:35:18,62.8551,42.7072,-23.26,100,76,2.55
96,Kuryk,KZ,2022-01-04 21:35:18,43.2,51.65,43.38,86,100,6.62
97,San Bartolome De Tirajana,ES,2022-01-04 21:35:19,27.9248,-15.5733,55.87,70,20,18.41
98,Hermanus,ZA,2022-01-04 21:35:19,-34.4187,19.2345,63.9,86,1,9.62
99,Sosnogorsk,RU,2022-01-04 21:35:19,63.6023,53.8817,-8.61,96,100,5.3
100,Bengkulu,ID,2022-01-04 21:35:20,-3.8004,102.2655,74.1,90,98,3.85
101,Guerrero Negro,MX,2022-01-04 21:35:20,27.9769,-114.0611,64.27,57,49,13.51
102,Kaitangata,NZ,2022-01-04 21:35:20,-46.2817,169.8464,63.66,84,86,4.29
103,Saldanha,ZA,2022-01-04 21:35:21,-33.0117,17.9442,60.85,85,0,8.32
104,Tasiilaq,GL,2022-01-04 21:35:21,65.6145,-37.6368,28.56,81,100,30.87
105,Arraial Do Cabo,BR,2022-01-04 21:30:34,-22.9661,-42.0278,76.96,73,75,18.41
106,Zhigansk,RU,2022-01-04 21:35:21,66.7697,123.3711,-55.28,100,68,2.39
107,Oil City,US,2022-01-04 21:35:22,41.4339,-79.7064,36.64,54,1,1.99
108,Mahebourg,MU,2022-01-04 21:35:22,-20.4081,57.7,79.09,83,75,11.5
109,Kahului,US,2022-01-04 21:35:22,20.8947,-156.47,81.97,74,40,16.11
110,Hofn,IS,2022-01-04 21:35:23,64.2539,-15.2082,23.81,58,0,9.64
111,Mackay,AU,2022-01-04 21:31:22,-21.15,149.2,84.69,89,40,2.3
112,Geraldton,AU,2022-01-04 21:30:56,-28.7667,114.6,64.81,94,2,3.44
113,Broome,US,2022-01-04 21:35:23,42.2506,-75.833,34.84,63,1,1.99
114,Paris,FR,2022-01-04 21:35:23,48.8534,2.3488,43.86,89,90,5.99
115,Georgetown,MY,2022-01-04 21:35:24,5.4112,100.3354,78.89,84,20,3.0
116,Punta Arenas,CL,2022-01-04 21:31:08,-53.15,-70.9167,50.11,46,40,24.16
117,Galdar,ES,2022-01-04 21:35:24,28.147,-15.6502,64.9,68,0,14.47
118,Lata,PT,2022-01-04 21:35:25,40.1629,-8.3327,52.81,94,33,2.51
119,San Carlos De Bariloche,AR,2022-01-04 21:35:25,-41.1456,-71.3082,64.15,39,0,23.02
120,Namibe,AO,2022-01-04 21:35:25,-15.1961,12.1522,68.67,83,94,4.05
121,Cherskiy,RU,2022-01-04 21:35:26,68.75,161.3,8.51,96,100,5.23
122,Atar,MR,2022-01-04 21:35:26,20.5169,-13.0499,67.98,19,69,7.67
123,Mathathane,BW,2022-01-04 21:35:26,-22.2687,28.7495,78.53,58,46,6.89
124,Bayanday,RU,2022-01-04 21:35:27,53.0661,105.5139,2.35,100,97,6.06
125,Rodino,RU,2022-01-04 21:35:27,52.5,80.25,20.53,88,100,10.49
126,Mae Hong Son,TH,2022-01-04 21:35:27,19.3003,97.9685,60.31,77,0,1.54
127,Yeppoon,AU,2022-01-04 21:35:28,-23.1333,150.7333,80.38,64,2,5.44
128,Dadri,IN,2022-01-04 21:35:28,28.5667,77.55,57.42,45,100,2.26
129,La Paz,BO,2022-01-04 21:34:05,-16.5,-68.15,64.38,39,75,13.8
